fifa_code,name,group_letter,flag_url
MEX,Mexico,A,
RSA,South Africa,A,
KOR,South Korea,A,
CZE,Czechia,A,
CAN,Canada,B,
BIH,Bosnia and Herzegovina,B,
QAT,Qatar,B,
SUI,Switzerland,B,
BRA,Brazil,C,
MAR,Morocco,C,
HAI,Haiti,C,
SCO,Scotland,C,
USA,USA,D,
PAR,Paraguay,D,
AUS,Australia,D,
TUR,Turkiye,D,
GER,Germany,E,
CUR,Curaçao,E,
CIV,Côte d'Ivoire,E,
ECU,Ecuador,E,
NED,Netherlands,F,
JPN,Japan,F,
SWE,Sweden,F,
TUN,Tunisia,F,
BEL,Belgium,G,
EGY,Egypt,G,
IRN,IR Iran,G,
NZL,New Zealand,G,
ESP,Spain,H,
CPV,Cabo Verde,H,
KSA,Saudi Arabia,H,
URU,Uruguay,H,
FRA,France,I,
SEN,Senegal,I,
IRQ,Iraq,I,
NOR,Norway,I,
ARG,Argentina,J,
ALG,Algeria,J,
AUT,Austria,J,
JOR,Jordan,J,
POR,Portugal,K,
COD,DR Congo,K,
UZB,Uzbekistan,K,
COL,Colombia,K,
ENG,England,L,
CRO,Croatia,L,
GHA,Ghana,L,
PAN,Panama,L,
